participants_id,No.,text,Valence,Arousal,emotion_label,Unnamed: 6,Unnamed: 7
2,23,"I will have a presentation soon, and I am very worried that I will feel nervous during it. How can I relieve this? I have the same issue in interviews.",-0.65,0.85,4,,
2,24,"Recently, I get red spots on my face about once a month. They appear on my eyelids, temples, cheeks, and forehead, and usually disappear after three or four days. What could be causing this?",-0.75,-0.4,2,,
2,25,"	How are the twelve zodiac signs determined? Why do people with different zodiac signs seem to have different personalities? What is the relationship between zodiac signs and tarot cards?",0.8,0.55,1,,
2,26,I am preparing for an embedded engineer interview recently. Can you help me organize some common technical questions?,0,0,0,,
2,27,"I got an internship interview opportunity today, and I am really happy! Can you help me prepare a self-introduction?",0.8,0.55,1,,
2,28,"My group project is finally finished, and I feel really accomplished. Can you help me polish my presentation script?",0.8,0.55,1,,
2,29,"I have been feeling very stressed lately, and I feel like I cannot do anything well. Can you talk with me and give me some advice?",-0.75,-0.4,2,,
2,30,"My landlord keeps ignoring my messages, and I am really angry. Can you help me write a more formal email?",-0.8,0.75,3,,
2,31,"I have a very important presentation tomorrow, and I am really afraid that I will not do well. What should I do?",-0.65,0.85,4,,
2,32,"I found a really unpleasant smell in the kitchen, and it makes me feel sick. What could be causing it?",-0.7,0.35,5,,
2,33,"I have applied to many internships but got no responses, and now I feel a little sad and start doubting myself.",-0.75,-0.4,2,,
2,34,"This group assignment was supposed to be done by everyone, but in the end I was the only one revising the report. I am really angry.",-0.8,0.75,3,,
2,35,"I thought this application had no chance at all, but today I suddenly received an interview invitation. I am really surprised.",0.1,0.85,6,,
2,36,"Although there are many things going on recently, I want to calm down and deal with them one by one. Can you help me prioritize them?",0.35,-0.75,7,,
2,37,"Lately, I have been feeling that my efficiency is very low. Even though I spend a lot of time every day studying and working on projects, when I look back at the end, it feels like I have not accomplished much. This makes me feel a bit depressed, and I have started doubting whether I am capable enough.",-0.65,0.85,4,,
2,38,"I just had a phone call with a friend I had not spoken to for a long time, and we talked about many things that have happened recently. After hanging up, I felt really happy and much lighter.",0.8,0.55,1,,
2,39,"Recently, when I am alone, I often feel a little low. Nothing particularly bad has happened, but I still suddenly feel empty and really want someone to talk to.",-0.75,-0.4,2,,
2,40,"The takeaway I ordered today arrived very late, and by the time it got here, the food was already cold. Part of the order was also wrong, and I was already very hungry, so I was really a bit angry at that moment.",-0.8,0.75,3,,
3,41,"The neighbour next door plays loud music now and then, and the soundproofing here is terrible. I can hear everything even with my door closed. It抯 so distracting when I抦 trying to study, and it honestly drives me mad.",-0.8,0.75,3,,
3,42,"I opened the fridge and something smelled absolutely awful. I don抰 know what went bad, but it honestly made me feel sick. How do I get rid of the smell and stop it happening again?",-0.7,0.35,5,,
3,43,"No way I just checked my grade and it was much higher than I expected. I am honestly shocked because I thought I did badly. How should I reply to my tutor, or should I ask for feedback anyway?",0.1,0.85,6,,
3,44,I finally have a quiet evening with nothing urgent to do. I just want to slow down and reset after a busy week. Can you suggest a simple wind-down routine so I can feel calm and sleep well?,0.35,-0.75,7,,
3,45,"My Wi-Fi keeps cutting out and it is driving me crazy. Every time I uploading something or joining an online meeting, it disconnects. I restarted it so many times and nothing seems to help.",-0.8,0.75,3,,
3,46,"I been feeling a bit down lately, and I don't know why. Nothing terrible happened, but I still feel heavy and unmotivated. Even simple tasks feel harder than usual.",-0.75,-0.4,2,,
3,47,"I am going on a trip soon! I want to make the most of it, but I don't want the schedule to be too packed. Can you help me plan an itinerary with a good balance of sightseeing and rest, and maybe suggest a few must-visit spots?",0.8,0.55,1,,
3,48,I am nervous about my presentation next week and I keep thinking mess it up. I am not sure how to structure it clearly or handle questions at the end. Can you help me practise the flow and polish my slides so they look more professional and confident?,-0.65,0.85,4,,
3,49,"I finally fixed the buges! I was been stuck on it for ages and I was starting to doubt myself. It turned out to be a really small mistake, but I feel ridiculously relieved now.",0.8,0.55,1,,
3,50,I am not sure what to eat today and I don't want to spend too much time cooking. Could you give me a few quick ideas that are simple and reasonably healthy? Ideally something I can make with basic ingredients from a supermarket.,0,0,0,,
3,51,I miss home a lot right now. I keep thinking about my family and how comfortable everything felt back then. Being away for so long is harder than I expected.,-0.75,-0.4,2,,
3,52,"I tried a new meal from the supermarket and the texture was just?awful. I couldn't even finish a few bites because it made me nauseous. Do you have any suggestions for simple, safe foods when my stomach feels sensitive?",-0.7,0.35,5,,
3,53,I am sitting in the library with a cup of tea and it feels really peaceful. I don't want to push myself too hard tonight.I just want steady progress. Can you help me set a light study plan that keeps me calm and focused?,0.35,-0.75,7,,
3,54,I don't feel like talking much today. I am not upset at anyone.I just feel tired and kind of empty. I think I need some quiet time to reset.,-0.75,-0.4,2,,
3,55,I need to email my professor to ask about the report requirements. Can you help me write a polite message that is short and clear?,0,0,0,,
3,56,The coursework instructions are so unclear and everyone is interpreting them differently. I feel like I am doing extra work just to guess what they want. It is really irritating.,-0.8,0.75,3,,
3,57,I am worried my experiment results won't  be good enough to support my conclusions. I keep second-guessing my methods and my evaluation. Can you help me figure out what evidence I should include?,-0.65,0.85,4,,
3,58,"I have a lecture recording to review, but it is really long. Could you help me extract the key points and organise them into a short study outline?",0,0,0,,
3,59,I just checked the timetable and our room has been changed to a building on the other side of campus. I was surprised because I didn't  get any notification. Can you help me figure out where it is and how early I should leave?,0.1,0.85,6,,
3,60,"I took a slow walk after dinner and it helped me decompress. My thoughts feel less noisy, and I am not as tense as earlier. Do you have any calming routines that work well during busy coursework weeks?",0.35,-0.75,7,,
4,61,"I need to compare early fusion and late fusion in our project report, but I want the explanation to be concise and academic. Could you help me outline the key differences?",0,0,0,,
4,62,"Our supervisor might ask why our evaluation metric is low, and I am already nervous about not answering well. Can you help me prepare a clear explanation before the meeting?",-0.65,0.85,4,,
4,63,"I finally got the multimodal pipeline to run end-to-end tonight, and seeing the outputs appear together felt amazing. Can you help me summarise this progress in a short update for my team?",0.8,0.55,1,,
4,64,I opened my shaker bottle after leaving it in my bag for two days and the smell was absolutely disgusting. What is the best way to clean it properly and make sure it is safe to use again?,-0.7,0.35,5,,
4,65,"The lab booking system changed our slot again without any notice, and now our whole group has to rearrange everything. I am really frustrated. Can you help me write a firm but polite message about it?",-0.8,0.75,3,,
4,66,"I finished my tasks earlier than expected, made some tea, and now the evening feels very quiet in a good way. Can you give me a gentle plan for the rest of the night so I stay relaxed but productive?",0.35,-0.75,7,,
4,67,I checked my inbox casually and suddenly saw an invitation to an interview I thought I had no chance of getting. I was completely caught off guard. Can you help me figure out what to prepare first?,0.1,0.85,6,,
4,68,"I have several lecture slides and notes, but they feel a bit scattered. Can you help me organise them into a study checklist that is easy to follow?",0,0,0,,
4,69,The shared microwave in the kitchen has bits of old food stuck inside and the smell makes me lose my appetite. What is a quick way to clean it and make the space usable again?,-0.7,0.35,5,,
4,70,"My computer restarted because of an update right in the middle of a long task, and I lost a lot of time because of it. I am honestly so annoyed right now. What should I do to prevent this again?",-0.8,0.75,3,,
4,71,"I only meant to test one small change in the code, but it suddenly fixed several errors at once. I did not expect that at all. Can you help me think through why it worked?",0.1,0.85,6,,
4,72,"I went for a slow walk after working for hours, and my mind feels much steadier now. Can you suggest a simple wind-down routine for nights when I have too many deadlines?",0.35,-0.75,7,,
4,73,"I bought a ready meal today, but after heating it up the texture was weird and oily, and it made me feel put off immediately. Can you suggest something light and easy to eat instead?",-0.7,0.35,5,,
4,74,"One teammate kept leaving messages unanswered until the last minute, and now the rest of us are under pressure again. I am trying not to lose my temper. How can I bring this up professionally?",-0.8,0.75,3,,
4,75,"The project deadline is getting closer, and I keep thinking that our dataset may still be too small to support the conclusion well. Can you help me think of ways to explain or mitigate that?",-0.65,0.85,4,,
4,76,"I thought my skin was getting worse, but this morning it suddenly looked much calmer than usual. I was honestly surprised. What changes might have helped without me noticing?",0.1,0.85,6,,
4,77,It is raining outside and I actually like the sound tonight. I do not want to rush anything. Could you help me make a light study plan that keeps this peaceful feeling?,0.35,-0.75,7,,
4,78,I found some old leftovers at the back of the fridge and the smell was horrible the moment I opened the box. What is the safest way to throw everything away and clean the shelf afterward?,-0.7,0.35,5,,
4,79,"I was expecting my game performance to stay about the same, but after changing a few settings the frame rate jumped a lot more than I expected. Can you help me understand which setting probably mattered most?",0.1,0.85,6,,
4,80,"I thought I would feel more motivated this week, but instead I just feel flat and a bit disappointed in myself. Nothing dramatic happened, I just feel low. Can you talk to me for a moment?",-0.75,-0.4,2,,
